dept,number,suffix,title,credit,gradmeth,description,prereq_text,coreq_text,rest_text,alternate_text,gened
CMSC, 106, , Introduction to C Programming, 4, Regular, Design and analysis of programs in C. An introduction to computing using structured programming concepts. Intended for students with no or minimal programming experience., MATH115, , NOCLASS[CMSC] AND NOMAJ[CMSC], CMSC106 CMSC122 INST126, 
CMSC, 122, , Introduction to Computer Programming via the Web, 3, Regular* Pass-Fail* Audit, Introduction to computer programming in the context of developing full featured dynamic web sites. Uses a problem solving approach to teach basics of program design and implementation using JavaScript; relates these skills to creation of dynamic web sites; then explores both the potential and limits of web-based information sources for use in research. Intended to help relate a student's major to these emerging technologies., , , NOCLASS[CMSC], CMSC106 CMSC122, DSSP
CMSC, 131, , Object-Oriented Programming I, 4, Regular, Introduction to programming and computer science. Emphasizes understanding and implementation of applications using object-oriented techniques. Develops skills such as program design and testing as well as implementation of programs using a graphical IDE. Programming done in Java., , MATH140, , , 
CMSC, 132, , Object-Oriented Programming II, 4, Regular, Introduction to use of computers to solve problems using software engineering principles. Design* build* test* and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java., CMSC131 AND MATH140, , , , 
CMSC, 216, , Introduction to Computer Systems, 4, Regular, Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming* introductory systems programming* and assembly language. Other concepts covered include UNIX* machine data representation* thread management* optimization* and virtual memory. Programming is done in the Linux Environment., CMSC132 AND MATH141, CMSC250 , MAJ[CMSC] MAJ[CMPE] MIN[CMSC], , 
CMSC, 250, , Discrete Structures, 4, Regular, Fundamental mathematical concepts related to computer science* includin finite and infinite sets* relations* functions* and propositional logic. Introduction to other techniques* modeling and solving problems in computer science. Introduction to permutations* combinations* graphs* and trees with selected applications., CMSC131 AND MATH141, , MAJ[CMSC] MAJ[CMPE] MIN[CMSC] , , 
CMSC, 298, A, Special Topics in Computer Science, 1, Sat-Fail, Contact department for information to register for this course., , , , , 
CMSC, 320, , Introduction to Data Science, 3, Regular, An introduction to the data science pipeline* i.e.* the end-to-end process of going from unstructured* messy data to knowledge and actionable insights. Provides a broad overview of several topics including statistical data analysis* basic data mining and machine learning algorithms* large-scale data management* cloud computing* and information visualization., CMSC216 and CMSC250, , , , 
CMSC, 330, , Organization of Programming Languages, 3, Regular, A study of programming languages* including their syntax* semantics* and implementation. Several different models of languages are discussed* including dynamic* scripting (e.g.* Ruby* Python) functional (e.g.* OCaml* Haskell* Scheme)* and memory safe systems programming (e.g.* Rust). Explores language features such as formal syntax* scoping and binding of variables* higher-order programming* typing* and type polymorphism. Introduces finite automata* context free grammar* parsing* lambda calculus* and basics of security attacks and software security., CMSC250 AND CMSC216, , MAJ[CMSC] MAJ[CMPE] MIN[CMSC]., , 
CMSC, 351, , Algorithms, 3, Regular, A systematic study of the complexity of some elementary algorithms related to sorting* graphs and trees* and combinatorics. Algorithms are analyzed using mathematical techniques to solve recurrences and summations., CMSC250 AND CMSC216, , MAJ[CMSC] MAJ[CMPE] MIN[CMSC], CMSC251 CMSC351, 
CMSC, 389, N, Special Topics in Computer Science; Introduction to PHP and Javascript, 3, Regular, ,  CMSC250 AND CMSC216; ., , , , 
CMSC, 411, , Computer Systems Architecture, 3, Regular, Input/output processors and techniques. Intra-system communication* buses* caches. Addressing and memory hierarchies. Microprogramming* parallelism* and pipelining., CMSC330, , , ENEE446 CMSC411, 
CMSC, 412, , Operating Systems, 4, Regular, A hands-on introduction to operating systems* including topics in: multiprogramming* communication and synchronization* memory management* IO subsystems* and resource scheduling polices. The laboratory component consists of constructing a small kernel* including functions for device IO* multi-tasking* and memory management., CMSC330 AND CMSC351 AND (CMSC414 CMSC417 CMSC420 CMSC430 CMSC433 CMSC435 ENEE440 ENEE457) , , , CMSC412 ENEE447, 
